LGA,Land area (km^2),Density (2018)[5],Population 2018
Armadale,560,157,87634
Bassendean,10,1521,15739
Morley,35,1971,68232
Cloverdale,40,1042,41510
Floreat,22,1297,28481
Cannington,65,1433,92965
Claremont,5,2160,10704
Spearwood,168,668,112165
Cottesloe,3.9,2151,8188
East Fremantle,3.1,2489,8711
Fremantle,19,1624,30868
Gosnells,127,969,123325
Joondalup,99,1618,160031
Kalamunda,324,182,58946
Kwinana Town Centre,120,363,43511
Ardross,53,1929,101940
Mosman Park,4.3,2086,9067
Mundaring,643,61,39139
Nedlands,20,1148,22554
Peppermint Grove,1.1,1612,1721
Perth,14,2024,27762
Rockingham,258,518,133389
Mundijong,901,34,30933
South Perth,20,2198,43554
Stirling,105,2103,220249
Subiaco,5.6,3045,17106
Midland,1043,138,143374
Victoria Park,18,2040,36601
Leederville,11,3172,36088
Wanneroo,683,298,203679
